Date,Type,Link
6/19/22 21:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6939614104160526337
6/16/22 5:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6943010549400027136
6/14/22 18:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6942378993308372992
6/13/22 19:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6941863598906298368
6/10/22 2:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6939654113051774976
6/9/22 14:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6940542287231795200
6/5/22 19:05,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6939252555365437440
6/5/22 19:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6939128032167170048
6/5/22 19:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6939263200840282112
6/5/22 19:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6938937831851511808
6/3/22 21:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6938536053238591488
6/2/22 2:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6937702232180027393
6/2/22 2:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6937420878292938752
5/29/22 3:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6936399995122192385
5/25/22 21:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6935228631346548736
5/24/22 17:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6934921902637400064
5/24/22 17:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934823802920980480
5/24/22 17:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934851907760926720
5/24/22 4:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934608493958086656
5/24/22 3:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6934577582222839808
5/24/22 3:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934687170330861568
5/22/22 8:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6933847906034610176
5/18/22 22:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6932734201771302912
5/12/22 18:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6930370612590751744
5/6/22 5:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6928183535199510528
5/2/22 22:08,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6926640751380475904
4/24/22 5:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920553560636047361
4/21/22 19:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6922408552103833601
4/11/22 20:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6919373197129715712
4/9/22 20:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915553529927454720
4/2/22 21:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6916121890554011648
4/1/22 7:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915539269667155968
3/25/22 8:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6912765623466897408%29
3/25/22 2:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912855461398466560
3/23/22 21:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912404484404961280
3/23/22 3:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912212675171168256
3/23/22 2:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912170686258003968
3/22/22 12:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6911945165557350400%29
3/22/22 5:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6911897919793025024%29
3/21/22 22:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6911785533782265856
3/21/22 21:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6911784248085524480%29
3/21/22 12:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6911618008847130624
3/20/22 14:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6911322921353232384%29
3/20/22 5:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6911182035369799680%29
3/20/22 4:10,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6908834955640893440
3/20/22 2:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6911139279909855232%29
3/19/22 18:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910919151611953152%29
3/19/22 18:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910973275674169344%29
3/19/22 18:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910929398984540160%29
3/19/22 18:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910810701263441920%29
